,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
7,white_king_rank_4,0.0002509906072372967,0.1133704203431466,0.0,0.0,0.0,0.0,0.0,0.0
0,white_king_file_a,0.0002643552769473331,0.12716707968549856,0.0,0.0,0.0,0.0,0.0,0.0
4,white_king_rank_1,0.0003203684113035856,0.24804619711515863,0.0,0.0,0.0,0.0,0.0,0.0
5,white_king_rank_2,0.0004486142836617146,0.23391137824392452,0.0,0.0,0.0,0.0,0.0,0.0
1,white_king_file_b,0.0004785340550417156,0.1919227991425303,0.0,0.0,0.0,0.0,0.0,0.0
6,white_king_rank_3,0.0014828499214290546,0.1939424453532098,0.0,0.0,0.0,0.0,0.0,0.0
3,white_king_file_d,0.0015246355579166518,0.2484685602959904,0.0,0.0,0.0,0.0,0.0,0.0
20,white_rook_rank_5,0.0019162155646172746,0.16673873874210735,0.0,0.0,0.0,0.0,0.0,0.0
2,white_king_file_c,0.0028525854235118154,0.2304463461615452,0.0,0.0,0.0,0.0,0.0,0.0
32,black_king_rank_1,0.006486397118410282,0.17573985802304795,0.0,0.0,0.0,0.0,0.0,0.0
8,white_rook_file_a,0.009525365536017096,0.1626681801390902,0.0,0.0,0.0,0.0,0.0,0.0
12,white_rook_file_e,0.010788319928879603,0.16548569624919054,0.0,0.0,0.0,0.0,0.0,0.0
28,black_king_file_e,0.013960868519694513,0.16109486985446062,0.0,0.0,0.0,0.0,0.0,0.0
23,white_rook_rank_8,0.014732834102378519,0.16822033137118042,0.0,0.0,0.0,0.0,0.0,0.0
14,white_rook_file_g,0.015355800677834198,0.16523304606932215,0.0,0.0,0.0,0.0,0.0,0.0
10,white_rook_file_c,0.016434689028448718,0.1634450556760347,0.0,0.0,0.0,0.0,0.0,0.0
34,black_king_rank_3,0.01781776911670992,0.1649797080531983,0.0,0.0,0.0,0.0,0.0,0.0
24,black_king_file_a,0.02087169606500166,0.15281046918363153,0.0,0.0,0.0,0.0,0.0,0.0
36,black_king_rank_5,0.024081233723252698,0.17414765876288946,0.0,0.0,0.0,0.0,0.0,0.0
39,black_king_rank_8,0.024097491214176484,0.15922550940071042,0.0,0.0,0.0,0.0,0.0,0.0
11,white_rook_file_d,0.02512363281966008,0.16472567902726867,0.0,0.0,0.0,0.0,0.0,0.0
27,black_king_file_d,0.027110476801112282,0.15076933852922286,0.0,0.0,0.0,0.0,0.0,0.0
16,white_rook_rank_1,0.027330313881398977,0.1644709557896937,0.0,0.0,0.0,0.0,0.0,0.0
26,black_king_file_c,0.027700514329820427,0.14562377109366784,0.0,0.0,0.0,0.0,0.0,0.0
38,black_king_rank_7,0.029749510665746416,0.15452602435080096,0.0,0.0,0.0,0.0,0.0,0.0
30,black_king_file_g,0.03391687941689216,0.18452574781149153,0.0,0.0,0.0,0.0,0.0,0.0
9,white_rook_file_b,0.034806416563761405,0.1687089500551332,0.0,0.0,0.0,0.0,0.0,0.0
35,black_king_rank_4,0.03523639949997884,0.16943703855592518,0.0,0.0,0.0,0.0,0.0,0.0
18,white_rook_rank_3,0.03824615876080828,0.16523304606932215,0.0,0.0,0.0,0.0,0.0,0.0
25,black_king_file_b,0.03828144651349845,0.14342229678226787,0.0,0.0,0.0,0.0,0.0,0.0
29,black_king_file_f,0.04066345540560657,0.1841174121404252,0.0,0.0,0.0,0.0,0.0,0.0
37,black_king_rank_6,0.041484103759735255,0.1732249550915101,0.0,0.0,0.0,0.0,0.0,0.0
17,white_rook_rank_2,0.04236124346906299,0.16846496521477508,0.0,0.0,0.0,0.0,0.0,0.0
33,black_king_rank_2,0.04688715783703393,0.14777599527764132,0.0,0.0,0.0,0.0,0.0,0.0
31,black_king_file_h,0.04888587739547796,0.18713234995649528,0.0,0.0,0.0,0.0,0.0,0.0
19,white_rook_rank_4,0.05025534078425133,0.16370258835688514,0.0,0.0,0.0,0.0,0.0,0.0
15,white_rook_file_h,0.05280266781889314,0.16673873874210735,0.0,0.0,0.0,0.0,0.0,0.0
21,white_rook_rank_6,0.053680680141932696,0.16083007473935987,0.0,0.0,0.0,0.0,0.0,0.0
13,white_rook_file_f,0.06074394315729626,0.16573766173841237,0.0,0.0,0.0,0.0,0.0,0.0
22,white_rook_rank_7,0.06104216684556239,0.1649797080531983,0.0,0.0,0.0,0.0,0.0,0.0
